region,variety,name
"Mendocino, California",Red Wine,1000 Stories Bourbon Barrel Aged Batch Blue Carignan 2016
California,Red Wine,1000 Stories Bourbon Barrel Aged Gold Rush Red 2016
California,Red Wine,1000 Stories Bourbon Barrel Aged Gold Rush Red 2017
"North Coast, California",Red Wine,1000 Stories Bourbon Barrel Aged Zinfandel 2013
California,Red Wine,1000 Stories Bourbon Barrel Aged Zinfandel 2014
California,Red Wine,1000 Stories Bourbon Barrel Aged Zinfandel 2016
California,Red Wine,1000 Stories Bourbon Barrel Aged Zinfandel 2017
"Ribera del Duero, Spain",Red Wine,12 Linajes Crianza 2014
"Ribera del Duero, Spain",Red Wine,12 Linajes Reserva 2012
"Columbia Valley, Washington",Red Wine,14 Hands Cabernet Sauvignon 2010
"Columbia Valley, Washington",Red Wine,14 Hands Cabernet Sauvignon 2011
"Columbia Valley, Washington",Red Wine,14 Hands Cabernet Sauvignon 2015
Washington,White Wine,14 Hands Chardonnay 2011
Washington,Red Wine,14 Hands Hot to Trot Red Blend 2010
Washington,Red Wine,14 Hands Hot to Trot Red Blend 2012
"Columbia Valley, Washington",Red Wine,14 Hands Merlot 2012
Washington,White Wine,14 Hands Riesling 2014
Washington,White Wine,14 Hands Riesling 2015
Washington,White Wine,14 Hands Riesling 2016
"Columbia Valley, Washington",Red Wine,14 Hands Stampede Red Blend 2014
"Napa Valley, California",Red Wine,1849 Declaration Napa Valley Cabernet Sauvignon 2014
"Sonoma Coast, Sonoma County, California",Red Wine,1849 Iris Pinot Noir 2016
"Maipo Valley, Chile",Red Wine,1865 Selected Vineyards Cabernet Sauvignon 2014
"Maipo Valley, Chile",Red Wine,1865 Selected Vineyards Cabernet Sauvignon 2015
Chile,Red Wine,1865 Selected Vineyards Carmenere 2011
Chile,Red Wine,1865 Single Vineyard Cabernet Sauvignon 2011
Chile,White Wine,1865 Single Vineyard Sauvignon Blanc 2011
Chile,White Wine,1865 Single Vineyard Sauvignon Blanc 2013
"Leyda Valley, San Antonio Valley (Chile), Chile",White Wine,1865 Single Vineyard Sauvignon Blanc 2014
"Leyda Valley, San Antonio Valley (Chile), Chile",White Wine,1865 Single Vineyard Sauvignon Blanc 2015
"Napa Valley, California",Red Wine,1881 Napa Cabernet Sauvignon 2018
California,Red Wine,1924 Double Black Red Blend 2013
Australia,Red Wine,2 up Shiraz 2005
Australia,Red Wine,2 up Shiraz 2007
Australia,Red Wine,2 up Shiraz 2006
Australia,Red Wine,2 up Shiraz 2008
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Reserve Shiraz 2004
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Reserve Shiraz 2005
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2004
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2007
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2008
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2012
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2013
"Barossa Valley, Barossa, South Australia, Australia",Red Wine,3 Rings Shiraz 2014
"Marlborough, New Zealand",White Wine,3 Stones Sauvignon Blanc 2008
"Marlborough, New Zealand",White Wine,3 Stones Sauvignon Blanc 2009
Spain,Red Wine,4 Monos Tinto 2012
California,Red Wine,689 Cellars Killer Drop Red Blend 2014
"Lodi, California",Red Wine,7 Deadly Zins Zinfandel 2015
"Lodi, California",Red Wine,7 Deadly Zins Zinfandel (375ML Half-bottle) 2015
California,Red Wine,7 Moons Red Blend 2016
Australia,Red Wine,9 Mile Road Cabernet Sauvignon 2008
"Pfalz, Germany",White Wine,A. Christmann Riesling Pfalz 2018
"Pfalz, Germany",White Wine,A. Christmann Riesling Reiterpfad Hofstuck Grosses Gewachs 2015
Spain,White Wine,A Coroa Godello 2009
"Valdeorras, Spain",White Wine,A Coroa Godello 2013
"Valdeorras, Spain",White Wine,A Coroa Godello 2016
Italy,Red Wine,A. Mano Puglia Primitivo 2000
Italy,Red Wine,A. Mano Puglia Primitivo 2001
Italy,Red Wine,A. Mano Puglia Primitivo 2006
"Champagne, France",Sparkling & Champagne,A. Margaine Brut Cuvee Traditionelle
"Champagne, France",Sparkling & Champagne,A. Margaine Extra Brut
Spain,Red Wine,A Portela Mencia 2010
Spain,Red Wine,A Portela Mencia 2011
Spain,Red Wine,A Portela Mencia 2013
Portugal,Red Wine,A. Semedo Bairrada Tinto 2012
Oregon,White Wine,A to Z Chardonnay 2005
Oregon,White Wine,A to Z Chardonnay 2006
Oregon,White Wine,A to Z Chardonnay 2008
Oregon,White Wine,A to Z Chardonnay 2009
Oregon,White Wine,A to Z Chardonnay 2014
Oregon,White Wine,A to Z Chardonnay 2018
Oregon,Red Wine,A to Z Essence Pinot Noir 2015
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2003
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2006
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2007
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2009
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2010
Oregon,White Wine,A to Z Pinot Gris 2012
"Willamette Valley, Oregon",White Wine,A to Z Pinot Gris 2011
Oregon,White Wine,A to Z Pinot Gris 2013
Oregon,White Wine,A to Z Pinot Gris 2014
Oregon,White Wine,A to Z Pinot Gris 2015
Oregon,White Wine,A to Z Pinot Gris 2016
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2002
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2003
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2004
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2006
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2009
Oregon,Red Wine,A to Z Pinot Noir 2011
Oregon,Red Wine,A to Z Pinot Noir 2012
Oregon,Red Wine,A to Z Pinot Noir 2013
Oregon,Red Wine,A to Z Pinot Noir 2014
"Willamette Valley, Oregon",Red Wine,A to Z Pinot Noir 2017
Oregon,Red Wine,A to Z Pinot Noir (375ML half-bottle) 2013
Oregon,White Wine,A to Z Riesling 2013
"Rogue Valley, Oregon",White Wine,A to Z Riesling 2014
"Rogue Valley, Oregon",White Wine,A to Z Riesling 2015
"Rogue Valley, Oregon",White Wine,A to Z Riesling 2016
"Rogue Valley, Oregon",White Wine,A to Z Riesling 2017
Oregon,Pink and Rosé,A to Z Rose 2016
"Santa Barbara, Central Coast, California",Red Wine,A Tribute to Grace Santa Barbara County Grenache 2016
"Santa Barbara, Central Coast, California",Red Wine,A Tribute to Grace Santa Barbara County Grenache 2017
"Central Coast, California",Pink and Rosé,A Tribute to Grace Santa Barbara Highlands Vineyard Rose of Grenache 2017
"Amador, Sierra Foothills, California",Red Wine,A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2012
"Amador, Sierra Foothills, California",Red Wine,A Tribute to Grace Shake Ridge Ranch Vineyard Grenache 2013
"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,A Tribute to Grace Vie Caprice Vineyard Grenache 2014
"Santa Ynez Valley, Santa Barbara, Central Coast, California",Red Wine,A Tribute to Grace Vie Caprice Vineyard Grenache 2015
"Ribera del Duero, Spain",Red Wine,Aalto 2003
"Ribera del Duero, Spain",Red Wine,Aalto 2004
"Ribera del Duero, Spain",Red Wine,Aalto 2005
"Ribera del Duero, Spain",Red Wine,Aalto 2007
"Ribera del Duero, Spain",Red Wine,Aalto 2006
"Ribera del Duero, Spain",Red Wine,Aalto 2008
"Ribera del Duero, Spain",Red Wine,Aalto 2009
"Ribera del Duero, Spain",Red Wine,Aalto 2010
"Ribera del Duero, Spain",Red Wine,Aalto 2011
"Ribera del Duero, Spain",Red Wine,Aalto 2012
"Ribera del Duero, Spain",Red Wine,Aalto 2013
"Ribera del Duero, Spain",Red Wine,Aalto 2014
"Ribera del Duero, Spain",Red Wine,Aalto 2015
"Ribera del Duero, Spain",Red Wine,Aalto 2016
"Ribera del Duero, Spain",Red Wine,Aalto PS 2011
"Ribera del Duero, Spain",Red Wine,Aalto PS 2013
"Ribera del Duero, Spain",Red Wine,Aalto PS 2014
"Ribera del Duero, Spain",Red Wine,Aalto PS 2015
"Paso Robles, Central Coast, California",Red Wine,Aaron Wines Petite Sirah 2015
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2008
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2009
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2010
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2014
"Umpqua Valley, Oregon",White Wine,Abacela Albarino 2019
"Umpqua Valley, Oregon",Red Wine,Abacela Estate Tempranillo 2006
"Umpqua Valley, Oregon",Red Wine,Abacela Estate Tempranillo 2007
"Umpqua Valley, Oregon",Red Wine,Abacela Fiesta Tempranillo 2014
"Umpqua Valley, Oregon",Red Wine,Abacela Fiesta Tempranillo 2015
"Umpqua Valley, Oregon",Red Wine,Abacela Fiesta Tempranillo 2016
"Umpqua Valley, Oregon",Pink and Rosé,Abacela Grenache Rose 2014
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Cuvee El Campanario 1997
Spain,White Wine,Abadia Retuerta Le Domaine Blanco 2015
Spain,Red Wine,Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2009
Spain,Red Wine,Abadia Retuerta Pago Garduna Syrah Vino de la Tierra de Castilla y Leon 2010
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2009
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2010
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2011
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2012
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2013
Spain,Red Wine,Abadia Retuerta Pago Negralada Tempranillo 2014
Spain,Red Wine,Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2009
Spain,Red Wine,Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2010
Spain,Red Wine,Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2011
Spain,Red Wine,Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2013
Spain,Red Wine,Abadia Retuerta Pago Valdebellon Cabernet Sauvignon 2014
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Rivola 1999
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Rivola 2000
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Rivola 2001
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Rivola 2004
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Rivola 2005
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Rivola 2006
Spain,Red Wine,Abadia Retuerta Rivola 2008
Spain,Red Wine,Abadia Retuerta Seleccion Especial (1.5 Liter Magnum) 2015
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Seleccion Especial 1999
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Seleccion Especial 2000
"Ribera del Duero, Spain",Red Wine,Abadia Retuerta Seleccion Especial 2005
Spain,Red Wine,Abadia Retuerta Seleccion Especial 2007
Spain,Red Wine,Abadia Retuerta Seleccion Especial 2009
Spain,Red Wine,Abadia Retuerta Seleccion Especial 2010
Spain,Red Wine,Abadia Retuerta Seleccion Especial 2011
Spain,Red Wine,Abadia Retuerta Seleccion Especial 2013
Spain,Red Wine,Abadia Retuerta Seleccion Especial 2012
Spain,Red Wine,Abadia Retuerta Seleccion Especial 2014
Spain,Red Wine,Abadia Retuerta Seleccion Especial 2015
Spain,Red Wine,Abadia Retuerta Seleccion Especial (Stained Label) 2011
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Gewurztraminer 2007
"Alto Adige, Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Gruner Veltliner 2017
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Kerner 2007
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Kerner 2016
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Kerner 2017
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Kerner 2019
"Trentino-Alto Adige, Italy",Red Wine,Abbazia di Novacella Lagrein 2007
"Trentino-Alto Adige, Italy",Red Wine,Abbazia di Novacella Lagrein 2010
"Trentino-Alto Adige, Italy",Red Wine,Abbazia di Novacella Lagrein 2013
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Pinot Grigio 2011
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Pinot Grigio 2013
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Pinot Grigio 2014
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Pinot Grigio 2015
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Pinot Grigio 2018
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Pinot Grigio 2019
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Praepositus Kerner 2013
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Praepositus Kerner 2014
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Praepositus Kerner 2015
"Trentino-Alto Adige, Italy",White Wine,Abbazia di Novacella Sylvaner 2008
"Barolo, Piedmont, Italy",Red Wine,Abbona Barolo Ravera 2015
"Piedmont, Italy",Red Wine,Abbona Papa Celso Dolcetto 2015
"Barolo, Piedmont, Italy",Red Wine,Abbona Pressenda Barolo 2007
"Barolo, Piedmont, Italy",Red Wine,Abbona Pressenda Barolo 2008
"Barolo, Piedmont, Italy",Red Wine,Abbona Pressenda Barolo 2010
"Barolo, Piedmont, Italy",Red Wine,Abbona Pressenda Barolo 2011
"Barolo, Piedmont, Italy",Red Wine,Abbona Pressenda Barolo 2012
"Barolo, Piedmont, Italy",Red Wine,Abbona Pressenda Barolo 2013
"Alba, Piedmont, Italy",Red Wine,Abbona Rinaldi Barbera d'Alba 2013
"Alba, Piedmont, Italy",Red Wine,Abbona Rinaldi Barbera d'Alba 2015
"Barolo, Piedmont, Italy",Red Wine,Abbona Terlo Ravera Barolo 2007
"Barolo, Piedmont, Italy",Red Wine,Abbona Terlo Ravera Barolo 2009
"Barolo, Piedmont, Italy",Red Wine,Abbona Terlo Ravera Barolo 2010
"Barolo, Piedmont, Italy",Red Wine,Abbona Terlo Ravera Barolo 2011
"Barolo, Piedmont, Italy",Red Wine,Abbona Terlo Ravera Barolo 2012
"Columbia Valley, Washington",Red Wine,Abeja Cabernet Sauvignon 2006
"Columbia Valley, Washington",Red Wine,Abeja Cabernet Sauvignon 2012
"Columbia Valley, Washington",Red Wine,Abeja Cabernet Sauvignon 2013
"Columbia Valley, Washington",Red Wine,Abeja Cabernet Sauvignon 2014
Washington,White Wine,Abeja Chardonnay 2015
Washington,White Wine,Abeja Chardonnay 2014
"Columbia Valley, Washington",Red Wine,Abeja Merlot 2014
"Willamette Valley, Oregon",Red Wine,Aberrant Cellars Carpe Noctem Pinot Noir 2011
"Uco Valley, Mendoza, Argentina",Red Wine,Abremundos Uco Valley Octava Bassa Malbec 2014
"Napa Valley, California",Red Wine,Abreu Vineyards Cappella 2006
"Napa Valley, California",Red Wine,Abreu Vineyards Cappella 2007
"Napa Valley, California",Red Wine,Abreu Vineyards Cappella 2010
"Howell Mountain, Napa Valley, California",Red Wine,Abreu Vineyards Howell Mountain 2008
"Howell Mountain, Napa Valley, California",Red Wine,Abreu Vineyards Howell Mountain 2009
"Howell Mountain, Napa Valley, California",Red Wine,Abreu Vineyards Las Posadas Howell Mountain 2012
"Napa Valley, California",Red Wine,Abreu Vineyards Madrona Ranch 1993
"Napa Valley, California",Red Wine,Abreu Vineyards Madrona Ranch 1996
"Napa Valley, California",Red Wine,Abreu Vineyards Madrona Ranch 2000
"Napa Valley, California",Red Wine,Abreu Vineyards Madrona Ranch 2003
"Napa Valley, California",Red Wine,Abreu Vineyards Madrona Ranch 2004
"Napa Valley, California",Red Wine,Abreu Vineyards Madrona Ranch 2005
"Napa Valley, California",Red Wine,Abreu Vineyards Thorevilos 2004
"Napa Valley, California",Red Wine,Abreu Vineyards Thorevilos 2009
"Napa Valley, California",Red Wine,Abreu Vineyards Thorevilos 2012
"Napa Valley, California",Red Wine,Abreu Vineyards Thorevilos 2014
"Barolo, Piedmont, Italy",Red Wine,Abrigo Giovanni Barolo Ravera 2015
"Napa Valley, California",Red Wine,Abreu Vineyards Thorevilos 2015
"Carneros, California",Red Wine,Acacia Beckstoffer Pinot Noir 1997
"Carneros, California",Red Wine,Acacia Beckstoffer Pinot Noir 1998
"Carneros, California",Red Wine,Acacia Beckstoffer Pinot Noir 1999
"Carneros, California",Red Wine,Acacia Beckstoffer Pinot Noir 2000
"Carneros, California",Red Wine,Acacia Beckstoffer Pinot Noir 2001
"Carneros, California",Sparkling & Champagne,Acacia Carneros Brut 1993
"Carneros, California",White Wine,Acacia Carneros Chardonnay 1998
"Carneros, California",White Wine,Acacia Carneros Chardonnay 2000
"Carneros, California",White Wine,Acacia Carneros Chardonnay 2001
"Carneros, California",White Wine,Acacia Carneros Chardonnay 2003
"Carneros, California",White Wine,Acacia Carneros Chardonnay 2005
"Carneros, California",White Wine,Acacia Carneros Chardonnay 2009
"Carneros, California",White Wine,Acacia Carneros Chardonnay 2010
"Carneros, California",White Wine,Acacia Carneros Chardonnay (half-bottle) 1998
"Napa Valley, California",Red Wine,Acacia Carneros Pinot Noir 1999
"Napa Valley, California",Red Wine,Acacia Carneros Pinot Noir 2000
"Napa Valley, California",Red Wine,Acacia Carneros Pinot Noir 2002
"Carneros, California",Red Wine,Acacia Carneros Pinot Noir 2005
"Carneros, California",Red Wine,Acacia Carneros Pinot Noir 2009
"Carneros, California",Red Wine,Acacia Carneros Pinot Noir 2013
"Carneros, California",Red Wine,Acacia Carneros Pinot Noir 2016
"Carneros, California",Red Wine,Acacia Carneros Pinot Noir (375ML half-bottle) 2009
"Carneros, California",White Wine,Acacia Chardonnay (half-bottle) 1997
"Carneros, California",Red Wine,Acacia Desoto Vineyard Pinot Noir 1999
"Carneros, California",Red Wine,Acacia Pinot Noir 1998
"Carneros, California",Red Wine,Acacia Pinot Noir 2000
"Carneros, California",Red Wine,Acacia Pinot Noir 2001
"Carneros, California",Red Wine,Acacia Pinot Noir 2002
"Carneros, California",Red Wine,Acacia Pinot Noir Lee 1997
"Carneros, California",Red Wine,Acacia Pinot Noir Lee 1998
"Carneros, California",Red Wine,Acacia Pinot Noir Lee 1999
"Carneros, California",Red Wine,Acacia St. Clair Pinot Noir 2000
"Carneros, California",Red Wine,Acacia St. Clair Pinot Noir 2001
"Napa Valley, California",Red Wine,Accendo Cellars Cabernet Sauvignon 2016
"Napa Valley, California",White Wine,Accendo Cellars Sauvignon Blanc 2017
"Valpolicella, Veneto, Italy",Red Wine,Accordini Igino Le Bessole Amarone della Valpolicella 2007
"Valpolicella, Veneto, Italy",Red Wine,Accordini Igino Le Bessole Amarone della Valpolicella 2011
Greece,,Achaia Clauss Mavrodaphne
Argentina,Red Wine,Achaval-Ferrer Finca Altamira Malbec (1.5 Liter Magnum) 2009
Argentina,Red Wine,Achaval-Ferrer Finca Altamira Malbec 2001
Argentina,Red Wine,Achaval-Ferrer Finca Altamira Malbec 2002
Argentina,Red Wine,Achaval-Ferrer Finca Altamira Malbec 2007
Argentina,Red Wine,Achaval-Ferrer Finca Altamira Malbec 2006
Argentina,Red Wine,Achaval-Ferrer Finca Altamira Malbec 2008
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Altamira Malbec 2009
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Altamira Malbec 2010
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Altamira Malbec 2012
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Altamira Malbec 2011
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Altamira Malbec 2013
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Altamira Malbec 2014
Argentina,Red Wine,Achaval-Ferrer Finca Bella Vista Malbec (1.5 Liter Magnum) 2009
Argentina,Red Wine,Achaval-Ferrer Finca Bella Vista Malbec 2007
Argentina,Red Wine,Achaval-Ferrer Finca Bella Vista Malbec 2008
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Bella Vista Malbec 2009
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Bella Vista Malbec 2010
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Bella Vista Malbec 2011
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Bella Vista Malbec 2012
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Bella Vista Malbec 2013
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Mirador Malbec 2005
Argentina,Red Wine,Achaval-Ferrer Finca Mirador Malbec 2006
Argentina,Red Wine,Achaval-Ferrer Finca Mirador Malbec 2007
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Mirador Malbec 2008
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Mirador Malbec 2009
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Mirador Malbec 2010
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Mirador Malbec 2013
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Finca Mirador Malbec 2014
Argentina,Red Wine,Achaval-Ferrer Mendoza Cabernet Sauvignon 2011
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Mendoza Cabernet Sauvignon 2014
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Mendoza Cabernet Sauvignon 2017
Argentina,Red Wine,Achaval-Ferrer Mendoza Malbec 2006
Argentina,Red Wine,Achaval-Ferrer Mendoza Malbec 2007
Argentina,Red Wine,Achaval-Ferrer Mendoza Malbec 2008
Argentina,Red Wine,Achaval-Ferrer Mendoza Malbec 2010
Argentina,Red Wine,Achaval-Ferrer Mendoza Malbec 2011
Argentina,Red Wine,Achaval-Ferrer Mendoza Malbec 2012
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Mendoza Malbec 2013
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Mendoza Malbec 2014
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Mendoza Malbec 2015
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Mendoza Malbec 2018
Argentina,Red Wine,Achaval-Ferrer Quimera 2001
Argentina,Red Wine,Achaval-Ferrer Quimera 2006
Argentina,Red Wine,Achaval-Ferrer Quimera 2007
Argentina,Red Wine,Achaval-Ferrer Quimera 2008
Argentina,Red Wine,Achaval-Ferrer Quimera 2009
Argentina,Red Wine,Achaval-Ferrer Quimera 2010
"Uco Valley, Mendoza, Argentina",Red Wine,Achaval-Ferrer Quimera 2011
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Quimera 2012
"Mendoza, Argentina",Red Wine,Achaval-Ferrer Quimera 2013
"Valpolicella, Veneto, Italy",Red Wine,Acinum Amarone della Valpolicella 2012
"Valpolicella, Veneto, Italy",Red Wine,Acinum Amarone della Valpolicella 2015
"Napa Valley, California",Red Wine,Acre Cabernet Sauvignon 2015
Oregon,White Wine,Acrobat Pinot Gris 2009
Oregon,White Wine,Acrobat Pinot Gris 2010
Oregon,White Wine,Acrobat Pinot Gris 2011
Oregon,White Wine,Acrobat Pinot Gris 2012
Oregon,White Wine,Acrobat Pinot Gris 2013
Oregon,White Wine,Acrobat Pinot Gris 2014
Oregon,White Wine,Acrobat Pinot Gris 2015
Oregon,White Wine,Acrobat Pinot Gris 2016
Oregon,White Wine,Acrobat Pinot Gris 2017
Oregon,Red Wine,Acrobat Pinot Noir 2009
Oregon,Red Wine,Acrobat Pinot Noir 2012
Oregon,Red Wine,Acrobat Pinot Noir 2013
Oregon,Red Wine,Acrobat Pinot Noir 2015
Oregon,Pink and Rosé,Acrobat Rose of Pinot Noir 2013
Oregon,Pink and Rosé,Acrobat Rose of Pinot Noir 2014
Oregon,Pink and Rosé,Acrobat Rose of Pinot Noir 2016
Oregon,Pink and Rosé,Acrobat Rose of Pinot Noir 2017
"Napa Valley, California",White Wine,Acumen Mountainside Sauvignon Blanc 2017
"Jumilla, Spain",White Wine,Acustic Celler Acustic Blanc 2010
"Jumilla, Spain",Red Wine,Acustic Celler Acustic Montsant 2007
"Jumilla, Spain",Red Wine,Acustic Celler Acustic Montsant 2008
"Jumilla, Spain",Red Wine,Acustic Celler Acustic Montsant 2009
"Jumilla, Spain",Red Wine,Acustic Celler Brao 2011
"Jumilla, Spain",Red Wine,Acustic Celler Brao 2012
"Prosecco, Italy",Sparkling & Champagne,Adami Garbel Brut Prosecco
"Valdobbiadene, Prosecco, Italy",Sparkling & Champagne,Adami Prosecco di Valdobbiadene Dry Vigneto Giardino 2007
"Howell Mountain, Napa Valley, California",Red Wine,ADAMVS Quintvs 2012
"Howell Mountain, Napa Valley, California",Red Wine,ADAMVS Quintvs 2013
"Napa Valley, California",Red Wine,Adaptation by Odette Cabernet Sauvignon 2015
"Napa Valley, California",Red Wine,Adaptation by Odette Petite Sirah 2013
"Napa Valley, California",Red Wine,Addax Red Wine 2016
"Napa Valley, California",Red Wine,Addendum Napa Valley Cabernet Sauvignon 2016
"Rutherford, Napa Valley, California",Red Wine,Addendum Skellenger Lane Cabernet Sauvignon 2016
"Atlas Peak, Napa Valley, California",Red Wine,Addendum Stagecoach Vineyard Cabernet Sauvignon 2016
Spain,White Wine,Adega Cachin Peza do Rei Blanco 2009
"Rias Baixas, Spain",White Wine,Adega Eidos Eidos de Padrinan Albarino 2007
"Rias Baixas, Spain",White Wine,Adega Eidos Eidos de Padrinan Albarino 2008
"Rias Baixas, Spain",White Wine,Adega Eidos Veigas de Padrinan Albarino 2008
Spain,White Wine,Adega O Casal Novo Godello 2007
Spain,Red Wine,Adega O Casal Novo Mencia 2007
"Ribera del Duero, Spain",Red Wine,Adega Pena das Donas Ribeira Sacra Verdes Matas Mencia 2008
"Rias Baixas, Spain",White Wine,Adegas D'Altamira Brandal Albarino 2005
"Rias Baixas, Spain",White Wine,Adegas D'Altamira Brandal Albarino 2007
"Rias Baixas, Spain",White Wine,Adegas D'Altamira Brandal Albarino 2008
"Rias Baixas, Spain",White Wine,Adegas Galegas D. Pedro Soutomaior Albarino 2014
"Paso Robles, Central Coast, California",Red Wine,Adelaida Anna's Red 2014
"Paso Robles, Central Coast, California",Red Wine,Adelaida Anna's Red 2016
"Adelaida District, Paso Robles, Central Coast, California",Red Wine,Adelaida Anna's Vineyard Syrah 2013
"Adelaida District, Paso Robles, Central Coast, California",White Wine,Adelaida Anna's White 2014
"Paso Robles, Central Coast, California",Red Wine,Adelaida End Post Cabernet Sauvignon 2013
"Paso Robles, Central Coast, California",Red Wine,Adelaida End Post Cabernet Sauvignon 2015
"Paso Robles, Central Coast, California",Red Wine,Adelaida End Post Cabernet Sauvignon 2016
"Adelaida District, Paso Robles, Central Coast, California",White Wine,Adelaida Estate Chardonnay 2014
"Adelaida District, Paso Robles, Central Coast, California",Red Wine,Adelaida Estate Pinot Noir 2013
California,Pink and Rosé,Adelaida Estate Rose 2013
"Paso Robles, Central Coast, California",Red Wine,Adelaida Grenache 2013
"Central Coast, California",Red Wine,Adelaida HMR Pinot Noir 2010
"Paso Robles, Central Coast, California",Red Wine,Adelaida HMR Pinot Noir 2013
"Paso Robles, Central Coast, California",Red Wine,Adelaida HMR Pinot Noir 2018
"Central Coast, California",Red Wine,Adelaida Keeper Red 2011
"Paso Robles, Central Coast, California",Red Wine,Adelaida Paso Robles Cabernet Sauvignon 2015
